sold,days,discount,price,r2M,MonthList,MonthSold,NumList,NumPC,NumSold
1,96,3.799999999999997,1150000,0.68,1,5,1,0,2
1,79,3.4000000000000057,952000,0.56,2,5,3,1,4
1,56,0.0,1095000,0.65,3,5,3,5,2
1,407,19.400000000000006,1490000,0.88,3,4,1,4,2
1,179,10.900000000000006,2650000,1.57,11,4,1,0,2
1,336,11.099999999999994,1555000,0.92,5,4,2,2,3
1,70,2.0,1495000,0.89,2,4,2,2,2
1,222,30.799999999999997,1100000,0.65,9,4,1,3,1
1,30,15.099999999999994,509250,0.3,3,4,7,2,1
1,366,10.099999999999994,1780000,1.05,4,4,2,2,3
1,37,0.0,2845000,1.69,3,4,3,18,2
1,310,19.700000000000003,1040000,0.62,6,4,1,3,2
1,156,16.099999999999994,1080000,0.64,11,4,1,3,2
1,435,11.400000000000006,2836000,1.68,2,4,2,5,3
1,167,7.0,1460000,0.87,10,4,1,0,2
1,70,0.5999999999999943,795000,0.47,2,4,1,0,4
1,413,9.700000000000003,1650000,0.98,2,4,1,2,3
1,186,14.400000000000006,1280000,0.76,10,4,2,2,4
1,67,0.5,1242000,0.74,1,3,4,3,2
1,165,19.5,926000,0.55,10,3,1,0,1
1,167,10.200000000000003,2510000,1.49,10,3,2,3,4
1,128,6.200000000000003,985000,0.58,11,3,4,1,2
1,65,2.9000000000000057,1164000,0.69,1,3,2,0,2
1,250,5.299999999999997,3215000,1.9,7,3,2,0,1
1,275,13.799999999999997,1205000,0.71,5,3,1,1,2
1,163,12.599999999999994,785000,0.47,9,3,1,1,2
1,161,19.799999999999997,1137000,0.67,9,3,1,2,2
1,274,9.900000000000006,1485000,0.88,5,2,1,2,2
1,93,2.799999999999997,923000,0.55,11,2,1,0,1
1,220,20.099999999999994,1275000,0.76,7,2,1,1,1
1,120,15.299999999999997,470000,0.28,10,2,4,8,4
1,281,19.5,845000,0.5,5,2,1,4,3
1,139,10.799999999999997,847000,0.5,9,1,2,3,2
1,240,11.099999999999994,885000,0.52,5,1,1,3,1
1,210,15.700000000000003,993000,0.59,6,1,1,3,1
1,243,12.200000000000003,2525000,1.5,5,1,4,1,1
1,119,10.5,850000,0.5,9,1,1,1,2
1,292,30.400000000000006,870000,0.52,3,1,1,6,1
1,306,14.700000000000003,1705000,1.01,3,1,1,2,2
1,171,17.0,1450000,0.86,7,12,1,2,3
